style,medal,beer,brewery,state
Adambier,Prata,Bock N Brett,Vila Dionísio,SP
Aged Beer,Ouro,Leopoldina Barley Wine Safra 2017,Cervejaria Leopoldina,RS
Aged Beer,Ouro,Leopoldina Barley Wine Safra 2018,Cervejaria Leopoldina,RS
Alcoholic Beer Mix Beverage (Cocktail Misto),Ouro,Walnut Uvva,Cervejaria Walnut,MG
Alcoholic Beer Mix Beverage (Cocktail Misto),Ouro,Haenschbier Coquetel Composto,Haenschbier,SC
Alcoholic Beer Mix Beverage (Cocktail Misto),Bronze,Birra Del Nonno - Bacco,Birra Del Nonno,SC
American-Belgo-Style Ale,Ouro,Uma Canção Praieira.,Cervejaria Três Santas,ES
American-Belgo-Style Ale,Prata,Stratra Series 1,Big Jack Cervejaria,SC
American-Belgo-Style Ale,Bronze,Belgian Tetra Hop,Big Jack Cervejaria,SC
American-Style Amber Lager,Ouro,Sasha,Vila Dionísio,SP
American-Style Amber Lager,Prata,Bruder Red Lager,Cervejaria Brüder,MG
American-Style Amber Lager,Bronze,Cerveja Do Funil - Red,Cervejaria Do Funil,MG
American-Style Amber/Red Ale,Ouro,Hop Red,Três Torres,ES
American-Style Amber/Red Ale,Prata,Campinas Amber Ale,Cervejaria Campinas,SP
American-Style Amber/Red Ale,Bronze,Red Magus,Charas Beer,RS
American-Style Barley Wine Ale,Bronze,Barley Wine #3,Faroeste Beer,SC
American-Style Black Ale,Ouro,Black Boom Ipa,Hank Bier,PR
American-Style Black Ale,Prata,Strata Series 3,Big Jack Cervejaria,SC
American-Style Black Ale,Bronze,Black Storm,Big Jack Cervejaria,SC
American-Style Brown Ale,Ouro,Brown Bill,Charas Beer,RS
American-Style Brown Ale,Prata,Thoruna American Brown Ale,Cervejaria Walnut,MG
American-Style Brown Ale,Bronze,James Brown,Wuff Bier,MG
American-Style Cream Ale,Ouro,Barnia Cream Ale,Barnia Cervejaria,SP
American-Style Cream Ale,Prata,Magbeer Pilsen,Magbeer,MG
American-Style Cream Ale,Bronze,Maestro Pilsen,Cervejaria Maestro,SC
American-Style Dark Lager,Prata,Rancho Dark Lager,Cervejaria Unika,SC
American-Style Dark Lager,Bronze,Cerveja Do Funil - Black,Cervejaria Do Funil,MG
American-Style Fruit Beer,Ouro,Dumb,Cervejaria Sp 330,SP
American-Style Fruit Beer,Prata,Buona Sour Pêssego,Cervejaria Buonacerva Ltda,MG
American-Style Fruit Beer,Bronze,Nina,Cervejaria Três Santas,ES
American-Style Fruited Sour Ale,Ouro,Brotas Cajú Sour,Brotas Beer,SP
American-Style Fruited Sour Ale,Prata,Barnia Sour Framboesa,Barnia Cervejaria,SP
American-Style Fruited Sour Ale,Bronze,Limonada De Framboesa,Cervejaria Salva,RS
American-Style Imperial or Double India Pale Ale,Ouro,Víbora Double Ipa,Cervejaria Unika,SC
American-Style Imperial or Double India Pale Ale,Prata,Trarko Double Ipa,Cervejaria Trarko,ES
American-Style Imperial or Double India Pale Ale,Bronze,Calipa,Cervejaria Alcatraz,SC
American-Style Imperial Porter,Ouro,Pecado Imperial,Big Jack Cervejaria,SC
American-Style Imperial Porter,Prata,Denker Imperial Stout,Cervejaria Denker,RJ
American-Style Imperial Porter,Bronze,Roots Strong,Três Torres,ES
American-Style Imperial Stout,Ouro,1822 Imperial Stout,Hank Bier,PR
American-Style Imperial Stout,Prata,Barnia Ris,Barnia Cervejaria,SP
American-Style India Pale Ale,Ouro,Storm,Big Jack Cervejaria,SC
American-Style India Pale Ale,Prata,Punk Rópi Ipa,Musaranho,SC
American-Style India Pale Ale,Bronze,Johnny Ipa,Três Torres,ES
American-Style India Pale Lager,Ouro,Zanotelli Hop Lager,Zanotelli Cervejaria,ES
American-Style India Pale Lager,Prata,Margarida Das Nuvens,Big Jack Cervejaria,SC
American-Style India Pale Lager,Bronze,Sampler - Ipl,Sampler Brew House,RJ
American-Style Lager,Ouro,Pilsen - Wolfes Bier,Cervejaria Wolfes Bier,SP
American-Style Lager,Prata,Vila Pilsen,Vila Dionísio,SP
American-Style Lager,Bronze,Perseguida,Cervejaria Ayres,MG
American-Style Light Lager,Ouro,Bionda Light Lager,Cervejaria Bionda,MT
American-Style Maerzen/Oktoberfest,Prata,Munique 26,Vila Dionísio,SP
American-Style Malt Liquor,Ouro,Malt Liquor Jack,Big Jack Cervejaria,SC
American-Style Malt Liquor,Prata,Bairrista,Cervejaria Salva,RS
American-Style Malt Liquor,Bronze,Walnut Pilsen,Cervejaria Walnut,MG
American-Style Pale Ale,Ouro,Leopoldina Apa,Cervejaria Leopoldina,RS
American-Style Pale Ale,Prata,Karsten New Apa,Cervejaria Karsten,SC
American-Style Pale Ale,Bronze,Urwald American Pale Ale,Cervejaria Urwald,RS
American-Style Pilsener,Bronze,Haenschbier Hop Ale,Haenschbier,SC
American-Style Sour Ale,Ouro,Torta De Limão,Cervejaria Salva,RS
American-Style Sour Ale,Prata,Königs Catharina Sour Maçã E Canela,Cervejaria Königs Bier,SC
American-Style Stout,Bronze,Stout Querendo,Cervejaria Salva,RS
American-Style Strong Pale Ale,Ouro,Rótula Bier American Ipa,Cervejaria Rótula Bier,RS
American-Style Strong Pale Ale,Prata,Faroeste Ipa,Faroeste Beer,SC
American-Style Strong Pale Ale,Bronze,Strongapa Do Jack,Big Jack Cervejaria,SC
American-Style Wheat Beer,Ouro,Solaris,Magbeer,MG
American-Style Wheat Beer,Prata,Nuvem Baixa,Arum Cervejaria,ES
American-Style Wheat Wine Ale,Prata,"In ""Trigo"" We Trust!",Cervejaria Karsten,SC
Australian-Style Pale Ale,Ouro,Mills - Springfield,Mills,MG
Australian-Style Pale Ale,Prata,Appaloosa,Colt Brew,MG
Australian-Style Pale Ale,Bronze,Copa Do Mundo Series - Austrália,Big Jack Cervejaria,SC
Baltic-Style Porter,Ouro,Baltic Porter,Big Jack Cervejaria,SC
Baltic-Style Porter,Prata,Porter Series - Dementadora 1,Cervejaria Salva,RS
Baltic-Style Porter,Bronze,Singularidade,Cervejaria Três Santas,ES
Bamberg-Style Bock Rauchbier,Ouro,1824 Imigração Rauch Bock,Cervejaria Imigração 1824,RS
Bamberg-Style Bock Rauchbier,Bronze,Bacon Serenade,Hank Bier,PR
Bamberg-Style Helles Rauchbier,Ouro,Westphalia Helles,Bergerbier,ES
Bamberg-Style Helles Rauchbier,Bronze,O Menino Sep,Cervejaria Três Santas,ES
Bamberg-Style Maerzen Rauchbier,Ouro,Urwald Rauchbier,Cervejaria Urwald,
Bamberg-Style Maerzen Rauchbier,Prata,Fumaça Do Corpo-Seco,Cervejaria Ituiutaba,MG
Belgian-Style Dubbel,Ouro,Monnik Arnold,Faroeste Beer,SC
Belgian-Style Dubbel,Prata,Ziel Nicolau,Cervejaria Ziel,MG
Belgian-Style Dubbel,Bronze,Cervejaria Leopoldina - Leopoldina Dubbel,Cervejaria Leopoldina,RS
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Ouro,Leopoldina Oud Bruin,Cervejaria Leopoldina,RS
Belgian-Style Flanders Oud Bruin or Oud Red Ale,Prata,Reserva Giuseppe,Big Jack Cervejaria,SC
Belgian-Style Fruit Beer,Ouro,Cupuaçu - Brett,Vila Dionísio,SP
Belgian-Style Fruit Beer,Bronze,Cervejaria Três Santas - O Novo Dia,Cervejaria Três Santas,ES
Belgian-Style Lambic,Bronze,Denker Ana Bierhaus Lambic Classic,Cervejaria Denker,RJ
Belgian-Style Quadrupel,Ouro,Quadrupel,Hank Bier,PR
Belgian-Style Quadrupel,Bronze,Belgian Series 4,Big Jack Cervejaria,SC
Belgian-Style Session Ale,Ouro,Witbier Low Alcohol,Marchand Beer Co.,SC
Belgian-Style Session Ale,Prata,Belgian Single Jack,Big Jack Cervejaria,SC
Belgian-Style Session Ale,Bronze,White Beer,Hank Bier,PR
Belgian-Style Speciale Belge,Ouro,Bela Belga,Charas Beer,RS
Belgian-Style Speciale Belge,Bronze,Tendel Belgian Pale Ale,Tendel,SC
Belgian-Style Strong Blonde Ale,Ouro,Strong Registrada,Cervejaria Registrada,MG
Belgian-Style Strong Blonde Ale,Prata,Big Jack Strong Blonde,Big Jack Cervejaria,SC
Belgian-Style Strong Blonde Ale,Bronze,Psychose Belgian Strong Ale,Cervejaria Nut Bier,PR
Belgian-Style Strong Dark Ale,Bronze,Fradim,Cervejaria Seo Carneiro,SP
Belgian-Style Table Beer,Prata,Table Bruin,Big Jack Cervejaria,SC
Belgian-Style Tripel,Ouro,Tripel,Hank Bier,PR
Belgian-Style Tripel,Prata,Ronchi Beer - Belgian Tripel,Cervejaria Ronchi Beer,ES
Belgian-Style Tripel,Bronze,Belgian Series 3,Big Jack Cervejaria,SC
Belgian-Style Witbier,Ouro,Leopoldina - Leopoldina Witbier,Cervejaria Leopoldina,RS
Belgian-Style Witbier,Prata,Elementum Witbier,Cervejaria Imigração 1824,RS
Belgian-Style Witbier,Bronze,Witbier Dakza,Dakza Brewing,MG
Berliner-Style Weisse,Ouro,Old Stuff,I Lupi Cervejaria,ES
Berliner-Style Weisse,Prata,Tropical Base,Hank Bier,PR
Brazilian-Style Fruit Beer,Ouro,Tropical Sour,Hank Bier,PR
Brazilian-Style Fruit Beer,Prata,Cupuaçu Saison Collab I Lupi E Três Santas,I Lupi Cervejaria,ES
Brazilian-Style Herb or Spiced Beer,Bronze,Bock N Amburana,Vila Dionísio,SP
Brazilian-Style Wood Aged Beer,Ouro,Terminus 2026,Daoravida Brewpub,SP
Brazilian-Style Wood Aged Beer,Prata,Manipueira Cachaça,Cervejaria Sp 330,SP
Brazilian-Style Wood Aged Beer,Bronze,Terminus 2025,Daoravida Brewpub,SP
Breslau-Style Schoeps,Ouro,Carneiro De Breslau,Big Jack Cervejaria,SC
Breslau-Style Schoeps,Bronze,Breslávia,Cervejaria Karsten,SC
Brett Beer,Ouro,B-E.a (Brett Saison),Cervejaria Três Santas,ES
Brett Beer,Prata,Mr. Brew Experience - Brett Saison Com Butiá,Mr. Brew Cervejaria,SC
Brett Beer,Bronze,Saison Castanheira,Água Do Monge Cervejaria,PR
British-Style Barley Wine Ale,Ouro,Cervejaria Leopoldina - Leopoldina Barley Wine Safra 2020,Cervejaria Leopoldina,RS
British-Style Barley Wine Ale,Prata,Barleywine Visionário,Cervejaria Ronchi Beer,ES
British-Style Barley Wine Ale,Bronze,Camaçada De Pau,Big Jack Cervejaria,SC
British-Style Imperial Stout,Ouro,Wonka,Cervejaria Vitruviana,SP
British-Style Imperial Stout,Prata,Cervejaria Leopoldina - Leopoldina Imperial Stout,Cervejaria Leopoldina,RS
British-Style Imperial Stout,Bronze,Os Nêne Arrepia,Cervejaria Karsten,RS
British-Style India Pale Ale,Ouro,Brotherhood,Hop Bros Cervejaria,AL
British-Style India Pale Ale,Prata,Ipa - Wolfes Bier,Cervejaria Wolfes Bier,SP
British-Style India Pale Ale,Bronze,Mary Rose English Ipa,Überbräu,MG
Brown Porter,Ouro,Ashby Porter,Cervejaria Ashby,SP
Brown Porter,Prata,Buraco Negro,Caras De Malte,SP
Brown Porter,Bronze,London Dock,Cervejaria Trarko,ES
Brut Beer,Ouro,Leopoldina Brut Sur Lie Safra 2024,Cervejaria Leopoldina,RS
Brut Beer,Prata,Leopoldina Brut Sur Lie Safra 2025,Cervejaria Leopoldina,RS
Brut Beer,Bronze,Três Santas Tripel Brut,Cervejaria Três Santas,ES
California Common Beer,Ouro,Velho Commom Karsten,Cervejaria Karsten,SC
California Common Beer,Prata,Faroeste,Piwo Cervejaria Artesanal,ES
California Common Beer,Bronze,1824 Imigração California,Cervejaria Imigração 1824,RS
Catharina Sour,Ouro,Marés - Carranca Goiaba E Framboesa,Cervejaria Marés,SP
Catharina Sour,Prata,Catharina Sour San Andreas,Cervejaria Unika,SC
Catharina Sour,Bronze,Maestro Catharina Sour Maracujá E Cajá,Cervejaria Maestro,SC
Chili Pepper Beer,Ouro,Ponta De Areia,Captain Brew,MG
Chili Pepper Beer,Prata,Haenschbier Catharina Sour Maracujá Com Pimenta,Haenschbier,SC
Chili Pepper Beer,Bronze,Lua De Mel Com Os Parças,Big Jack Cervejaria,SC
Chocolate or Cocoa Beer,Ouro,Sirius,Captain Brew,MG
Chocolate or Cocoa Beer,Prata,Tendel Barleywine,Tendel,SC
Chocolate or Cocoa Beer,Bronze,Maya,Três Torres,ES
Classic Australian-Style Pale Ale,Prata,Session Ipa,Cervejaria Salva,RS
Classic English-Style Pale Ale,Bronze,Cervejaria Do Funil - Funil Ipa,Cervejaria Do Funil,MG
Classic French & Belgian-Style Saison,Ouro,Cabula,Big Jack Cervejaria,SC
