style,medal,beer,brewery,state
Adambier,Ouro,Kaptain Lisa,Cervejaria Stannis,SC
Aged Beer,Ouro,Leopoldina Barley Wine Safra 2018,Cervejaria Leopoldina,RS
Aged Beer,Bronze,Leopoldina Barley Wine Safra 2017,Cervejaria Leopoldina,RS
American-Belgo-Style Ale,Ouro,Belgian Tetra Hop,Big Jack Cervejaria,SC
American-Belgo-Style Ale,Prata,Patanegra Belgo Ale,Cervejaria Patanegra,PR
American-Style Amber Lager,Prata,1824 Imigração Amber Lager,Cervejaria Imigração 1824,RS
American-Style Amber Lager,Bronze,Jegausus,Coice Da Mula,PR
American-Style Amber/Red Ale,Ouro,Cerveja Do Funil - Red,Cervejaria Do Funil,MG
American-Style Amber/Red Ale,Prata,American Red Ale,Cervejaria Bellbrück,SC
American-Style Barley Wine Ale,Prata,Barley Wine #3,Faroeste Beer,SC
American-Style Barley Wine Ale,Bronze,Hunsrück Barley Wine,Cervejaria Hunsruck,RS
American-Style Black Ale,Ouro,Black Dandara,Cervejaria Stannis,SC
American-Style Black Ale,Prata,Ruradélica Ales - Velvet,Ruradelica Ales,RS
American-Style Black Ale,Bronze,Dark Wings,Yellow Bird Brewery,PR
American-Style Brown Ale,Ouro,Vale Do Contestado,Natural Beer,SC
American-Style Brown Ale,Prata,Strata Series 4,Big Jack Cervejaria,SC
American-Style Brown Ale,Bronze,Brown Storm,Big Jack Cervejaria,SC
American-Style Cream Ale,Ouro,Power Parks,Cervejaria Stannis,SC
American-Style Cream Ale,Bronze,Maestro Pilsen,Cervejaria Maestro,SC
American-Style Dark Lager,Prata,Meia-Noite Americana,Big Jack Cervejaria,SC
American-Style Dark Lager,Bronze,N.i.b - Nênes In Black,Cervejaria Karsten,SC
American-Style Fruit Beer,Ouro,Dívidas De Sangre Non Se Pagan Con Monedas,Cervejaria Juan Caloto,SP
American-Style Fruit Beer,Prata,Rótula Bier Chopp De Bergamota,Cervejaria Rótula Bier,RS
American-Style Fruit Beer,Bronze,Cosvesi Fruit Beer,Cosvesi,SP
American-Style Fruited Sour Ale,Ouro,Camu Fruits,Cervejaria Lobos,PR
American-Style Fruited Sour Ale,Prata,Feira Da Fruta,Cervejaria Salva,RS
American-Style Fruited Sour Ale,Bronze,Sampler - Love Hurts,Sampler Brew House,RJ
American-Style Imperial or Double India Pale Ale,Prata,Víbora Double Ipa,Cervejaria Unika,SC
American-Style Imperial Porter,Ouro,Cervejaria Leopoldina - Leopoldina Imperial Stout Safra 2022,Cervejaria Leopoldina,RS
American-Style Imperial Porter,Prata,Porter,Faroeste Beer,SC
American-Style Imperial Stout,Ouro,Coffe Ris,Omas Haus Brewpub,SC
American-Style Imperial Stout,Prata,American Ris,Cervejaria Bellbrück,SC
